model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 A Class,2018,Semi-Auto,20238,Petrol,145,53.3,1.3,17990
 V Class,2018,Automatic,20527,Diesel,145,45.6,2.1,36498
 B Class,2018,Semi-Auto,13868,Petrol,150,50.4,1.6,18999
 C Class,2017,Semi-Auto,28023,Diesel,30,61.4,2.1,21124
 GLE Class,2020,Semi-Auto,4999,Petrol,145,29.5,3.0,59995
 C Class,2013,Automatic,23790,Diesel,145,53.3,2.1,12699
 GLA Class,2014,Semi-Auto,21729,Diesel,30,62.8,2.1,15500
 X-CLASS,2018,Automatic,3900,Diesel,260,35.8,2.3,23000
 E Class,2018,Semi-Auto,2861,Diesel,145,61.4,2.0,25882
 B Class,2011,Automatic,61400,Diesel,200,47.1,2.0,4295
 C Class,2017,Automatic,65891,Petrol,265,35.3,3.0,25995
 C Class,2015,Semi-Auto,11470,Diesel,30,64.2,1.6,18191
 E Class,2019,Semi-Auto,1000,Diesel,145,42.8,3.0,41519
 E Class,2018,Semi-Auto,17993,Diesel,145,58.9,2.0,26490
 C Class,2019,Automatic,3489,Petrol,145,44.8,1.6,28799
 C Class,2019,Semi-Auto,3254,Diesel,145,57.7,2.0,30980
 A Class,2018,Semi-Auto,4187,Diesel,145,65.7,1.5,19999
 E Class,2019,Semi-Auto,11096,Diesel,145,46.3,3.0,36995
 C Class,2017,Automatic,22571,Diesel,145,54.3,2.1,26249
 A Class,2016,Manual,12544,Diesel,20,72.4,1.5,14722
 C Class,2018,Semi-Auto,11938,Petrol,145,32.8,4.0,43750
 C Class,2017,Manual,15252,Petrol,145,53.3,2.0,15699
 C Class,2019,Semi-Auto,14344,Diesel,145,61.4,2.0,25999
 C Class,2017,Automatic,41677,Diesel,30,64.2,2.1,17400
 C Class,2019,Semi-Auto,1867,Petrol,145,41.5,2.0,28499
 A Class,2017,Semi-Auto,11456,Diesel,20,70.6,2.1,16480
 C Class,2016,Semi-Auto,9272,Diesel,20,67.3,2.1,21099
 A Class,2014,Manual,52220,Diesel,0,78.5,1.5,9500
 C Class,2019,Semi-Auto,15016,Diesel,145,61.4,2.0,25549
 C Class,2015,Automatic,12586,Hybrid,0,134.5,2.0,19100
 A Class,2017,Automatic,10707,Diesel,145,68.9,2.1,17399
 A Class,2016,Manual,39853,Diesel,20,72.4,1.5,11990
 E Class,2013,Automatic,37000,Diesel,30,58.9,2.2,13995
 A Class,2014,Automatic,33620,Petrol,205,40.9,2.0,19985
 C Class,2017,Automatic,37004,Diesel,30,61.4,2.1,16900
 A Class,2016,Semi-Auto,25550,Petrol,165,45.6,2.0,19491
 CLA Class,2017,Automatic,10626,Petrol,145,53.3,1.6,17200
 C Class,2016,Semi-Auto,21086,Diesel,30,64.2,2.1,19799
 GLC Class,2018,Semi-Auto,14510,Diesel,145,56.5,2.1,29480
 A Class,2015,Semi-Auto,40246,Diesel,20,68.9,1.5,12233
 A Class,2016,Manual,17071,Diesel,30,62.8,2.1,15990
 A Class,2019,Automatic,11670,Diesel,145,68.9,1.5,18748
 GLE Class,2019,Semi-Auto,5387,Diesel,145,36.7,3.0,41174
 E Class,2017,Automatic,14222,Diesel,145,72.4,2.0,19722
 E Class,2019,Semi-Auto,5932,Diesel,145,58.9,2.0,29480
 C Class,2016,Automatic,32044,Diesel,20,64.2,2.1,17699
 GLA Class,2019,Automatic,5647,Diesel,145,56.5,2.1,25899
 A Class,2014,Semi-Auto,35214,Petrol,125,52.3,1.6,11995
 GLC Class,2018,Semi-Auto,40422,Diesel,145,56.5,2.1,24690
 C Class,2019,Semi-Auto,6618,Diesel,145,54.3,2.0,31499
 GLC Class,2019,Automatic,999,Diesel,145,44.8,2.0,33499
 A Class,2017,Manual,10192,Diesel,145,68.9,1.5,16489
 A Class,2019,Semi-Auto,3131,Petrol,145,53.3,1.3,24099
 E Class,2019,Semi-Auto,506,Hybrid,135,188.3,2.0,40999
 E Class,2020,Automatic,6000,Diesel,145,47.1,2.9,49990
 GLA Class,2016,Semi-Auto,22145,Petrol,200,43.5,2.0,19790
 GL Class,2018,Automatic,14505,Petrol,145,50.4,1.6,20699
 C Class,2018,Semi-Auto,3033,Petrol,145,44.1,1.5,20890
 C Class,2017,Semi-Auto,11986,Petrol,150,48.7,2.0,21998
 A Class,2013,Manual,49000,Diesel,20,72.4,1.5,10650
 C Class,2015,Automatic,47012,Diesel,30,62.8,2.1,14819
 CLS Class,2016,Semi-Auto,33063,Diesel,165,51.4,3.0,21691
 SL CLASS,2017,Semi-Auto,20028,Diesel,30,70.6,2.1,20298
 GLA Class,2019,Semi-Auto,12580,Diesel,145,67.3,2.1,23780
 E Class,2019,Semi-Auto,7499,Diesel,145,67.3,2.0,25995
 C Class,2019,Semi-Auto,16,Diesel,145,60.1,1.6,29980
 GLC Class,2019,Semi-Auto,11614,Diesel,145,56.5,2.1,30049
 C Class,2017,Automatic,24348,Diesel,20,67.3,2.1,20100
 A Class,2014,Manual,50116,Diesel,0,78.5,1.5,9761
 GLC Class,2019,Semi-Auto,9107,Diesel,145,40.4,2.0,41900
 C Class,2019,Semi-Auto,4606,Diesel,145,61.4,2.0,28999
 A Class,2017,Automatic,44941,Diesel,20,74.3,1.5,12988
 C Class,2018,Semi-Auto,6198,Diesel,145,54.3,2.0,29498
 GLA Class,2015,Semi-Auto,26912,Diesel,125,56.5,2.1,16990
 C Class,2017,Automatic,10597,Diesel,145,65.7,2.1,24948
 GLA Class,2015,Manual,59280,Diesel,20,62.8,2.1,14295
 GLC Class,2016,Semi-Auto,31726,Diesel,125,56.5,2.1,26000
 E Class,2020,Semi-Auto,100,Diesel,145,42.8,3.0,44500
